model,species,label_id,sample_index,relative_path,temperature,seed
conditional_autoregressive_spectrogram_transformer,American Robin,0,0,american_robin/sample_000.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,American Robin,0,1,american_robin/sample_001.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,American Robin,0,2,american_robin/sample_002.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,American Robin,0,3,american_robin/sample_003.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,Northern Cardinal,1,0,northern_cardinal/sample_000.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,Northern Cardinal,1,1,northern_cardinal/sample_001.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,Northern Cardinal,1,2,northern_cardinal/sample_002.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,Northern Cardinal,1,3,northern_cardinal/sample_003.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,Song Sparrow,2,0,song_sparrow/sample_000.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,Song Sparrow,2,1,song_sparrow/sample_001.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,Song Sparrow,2,2,song_sparrow/sample_002.npy,0.8,2026
conditional_autoregressive_spectrogram_transformer,Song Sparrow,2,3,song_sparrow/sample_003.npy,0.8,2026
