filename,spec_path,classifier_spec_path,name,label_id,source_model,anchor_spec_path,posterior_temperature
vae_v3_northern_cardinal_000.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_000.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_000.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\54652-0.npy,0.35
vae_v3_northern_cardinal_001.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_001.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_001.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\18344-15.npy,0.35
vae_v3_northern_cardinal_002.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_002.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_002.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\463767-3.npy,0.35
vae_v3_northern_cardinal_003.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_003.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_003.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\220401-12.npy,0.35
vae_v3_northern_cardinal_004.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_004.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_004.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\564312-14.npy,0.35
vae_v3_northern_cardinal_005.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_005.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_005.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\266643-7.npy,0.35
vae_v3_northern_cardinal_006.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_006.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_006.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\313423-8.npy,0.35
vae_v3_northern_cardinal_007.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_007.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_007.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\18344-8.npy,0.35
vae_v3_northern_cardinal_008.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_008.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_008.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\445757-5.npy,0.35
vae_v3_northern_cardinal_009.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\generated_npy\northern_cardinal\vae_v3_northern_cardinal_009.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_009.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v3_posterior_mixture,C:\Users\sheng\Documents\1508_project\bird_song_gen\artifacts\spectrograms\train\northern_cardinal\172437-4.npy,0.35
