filename,spec_path,classifier_spec_path,name,label_id,source_model
vae_v2_northern_cardinal_000.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_000.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_000.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_001.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_001.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_001.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_002.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_002.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_002.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_003.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_003.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_003.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_004.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_004.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_004.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_005.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_005.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_005.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_006.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_006.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_006.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_007.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_007.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_007.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_008.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_008.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_008.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
vae_v2_northern_cardinal_009.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\generated_npy\northern_cardinal\vae_v2_northern_cardinal_009.npy,C:\Users\sheng\Documents\1508_project\bird_song_gen\outputs\conditional_vae_v2\classifier_input\northern_cardinal\vae_v2_northern_cardinal_009.npy,Northern Cardinal,0,spatial_detail_conditional_vae_v2_calibrated_prior
