split,name,species_slug,genus,species,id,filename,relative_wav_path,source_url,license,recordist,date,sound_type,audio_sha256
test,American Robin,american_robin,Turdus,migratorius,128490,128490-0.wav,wavfiles/128490-0.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,39789F9DF4715F37642E0E5FEC96258304B306AD05589AACB422B0EA475C8918
test,American Robin,american_robin,Turdus,migratorius,128490,128490-1.wav,wavfiles/128490-1.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,781064D090BE4FB0AE393495A62C7AAD6096F9DD532690502AD779AB6EC40C3F
test,American Robin,american_robin,Turdus,migratorius,128490,128490-2.wav,wavfiles/128490-2.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,02F63773BF9F7EFB9F4CFF874A0BC44FE5266CB140AAFCD71C49A7698750AC16
test,American Robin,american_robin,Turdus,migratorius,128490,128490-3.wav,wavfiles/128490-3.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,3DC6F511F9A94B0E7F947EC3342E9E0F018021EC3B466D3FFDF922C7C2C86446
test,American Robin,american_robin,Turdus,migratorius,128490,128490-4.wav,wavfiles/128490-4.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,58AB873C2EFD17A9A578D7CB9C19748885F96D969D313557BB89176B88F2671C
test,American Robin,american_robin,Turdus,migratorius,128490,128490-5.wav,wavfiles/128490-5.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,427BE11F34AC84CA81A7FEE1899CF0BBDB7BD5803E80D61332746D581A7CFC7A
test,American Robin,american_robin,Turdus,migratorius,128490,128490-6.wav,wavfiles/128490-6.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,11BADAD7FF908812A5A1438B702674D701A42B9AFF35CB8064BDECC372EEF0DE
test,American Robin,american_robin,Turdus,migratorius,128490,128490-7.wav,wavfiles/128490-7.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,B4E8E6D8086CE9D1FEC859522BABA9611FB02889E9DCD41082E072086B2A720E
test,American Robin,american_robin,Turdus,migratorius,128490,128490-8.wav,wavfiles/128490-8.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,E9BAE615701AAB0F312D34FE224BDF31ED9A100523D6CE889F994246710D066F
test,American Robin,american_robin,Turdus,migratorius,128490,128490-9.wav,wavfiles/128490-9.wav,//www.xeno-canto.org/128490,//creativecommons.org/licenses/by-sa/3.0/,Jonathon Jongsma,2013-04-03,song,66C4B81265762099912B9E2EA350A3CCA9ADEA8F7AB292E74CC9B2B4B45217C5
test,American Robin,american_robin,Turdus,migratorius,138063,138063-0.wav,wavfiles/138063-0.wav,//www.xeno-canto.org/138063,//creativecommons.org/licenses/by-nc-sa/3.0/,Paul Driver,2013-04-18,"call, song",E678521B73CB98897119F00F4A4486E819FE71923DFF2B85088A2D4F78DB1394
test,American Robin,american_robin,Turdus,migratorius,138063,138063-1.wav,wavfiles/138063-1.wav,//www.xeno-canto.org/138063,//creativecommons.org/licenses/by-nc-sa/3.0/,Paul Driver,2013-04-18,"call, song",E180A586E50C0B3C7DBE0ED2F6ACED8783EF24F6272B86ED3FCA459D19987C32
test,American Robin,american_robin,Turdus,migratorius,138063,138063-10.wav,wavfiles/138063-10.wav,//www.xeno-canto.org/138063,//creativecommons.org/licenses/by-nc-sa/3.0/,Paul Driver,2013-04-18,"call, song",F0F2AE46001C9BCBD32C02934D4F220115AEE1C6D2D7CA117C042DA3FA6B203C
